"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"25.04.2019 06:15 - 25.04.2019 06:30","52935","56029"
"25.04.2019 06:30 - 25.04.2019 06:45","54442","57175"
"25.04.2019 06:45 - 25.04.2019 07:00","55508","58564"
"25.04.2019 07:00 - 25.04.2019 07:15","56778","60279"
"25.04.2019 07:15 - 25.04.2019 07:30","57639","61365"
"25.04.2019 07:30 - 25.04.2019 07:45","60320","62160"
"25.04.2019 07:45 - 25.04.2019 08:00","61407","63072"
"25.04.2019 08:00 - 25.04.2019 08:15","61566","63962"
"25.04.2019 08:15 - 25.04.2019 08:30","62079","64631"
"25.04.2019 08:30 - 25.04.2019 08:45","62527","65149"
"25.04.2019 08:45 - 25.04.2019 09:00","62624","65550"
"25.04.2019 09:00 - 25.04.2019 09:15","62653","65583"
"25.04.2019 09:15 - 25.04.2019 09:30","63183","65745"
"25.04.2019 09:30 - 25.04.2019 09:45","63541","66565"
"25.04.2019 09:45 - 25.04.2019 10:00","63757","66825"
"25.04.2019 10:00 - 25.04.2019 10:15","63792","67223"
"25.04.2019 10:15 - 25.04.2019 10:30","64067","67249"
"25.04.2019 10:30 - 25.04.2019 10:45","64486","67324"
"25.04.2019 10:45 - 25.04.2019 11:00","64554","67438"
"25.04.2019 11:00 - 25.04.2019 11:15","65078","67753"
"25.04.2019 11:15 - 25.04.2019 11:30","65642","68040"
"25.04.2019 11:30 - 25.04.2019 11:45","65546","68612"
"25.04.2019 11:45 - 25.04.2019 12:00","65400","68754"
"25.04.2019 12:00 - 25.04.2019 12:15","65090","68248"
"25.04.2019 12:15 - 25.04.2019 12:30","64891","68031"
"25.04.2019 12:30 - 25.04.2019 12:45","64859","68099"
"25.04.2019 12:45 - 25.04.2019 13:00","64886","68195"
"25.04.2019 13:00 - 25.04.2019 13:15","64500","66960"
"25.04.2019 13:15 - 25.04.2019 13:30","64669","66749"
"25.04.2019 13:30 - 25.04.2019 13:45","63845","66208"
"25.04.2019 13:45 - 25.04.2019 14:00","63416","65727"
"25.04.2019 14:00 - 25.04.2019 14:15","63118","65379"
"25.04.2019 14:15 - 25.04.2019 14:30","62756","65537"
"25.04.2019 14:30 - 25.04.2019 14:45","62598","65086"
"25.04.2019 14:45 - 25.04.2019 15:00","62671","65054"
"25.04.2019 15:00 - 25.04.2019 15:15","62893","65044"
"25.04.2019 15:15 - 25.04.2019 15:30","61780","64691"
"25.04.2019 15:30 - 25.04.2019 15:45","61608","64369"
"25.04.2019 15:45 - 25.04.2019 16:00","61265","64036"
"25.04.2019 16:00 - 25.04.2019 16:15","60979","64077"
"25.04.2019 16:15 - 25.04.2019 16:30","60656","63140"
"25.04.2019 16:30 - 25.04.2019 16:45","61386","62686"
"25.04.2019 16:45 - 25.04.2019 17:00","60224","62621"
"25.04.2019 17:00 - 25.04.2019 17:15","60413","62749"
"25.04.2019 17:15 - 25.04.2019 17:30","60181","62604"
"25.04.2019 17:30 - 25.04.2019 17:45","60209","62860"
"25.04.2019 17:45 - 25.04.2019 18:00","60015","62690"
"25.04.2019 18:00 - 25.04.2019 18:15","59988","62440"
"25.04.2019 18:15 - 25.04.2019 18:30","60410","62031"
"25.04.2019 18:30 - 25.04.2019 18:45","60213","61600"
"25.04.2019 18:45 - 25.04.2019 19:00","59861","61708"
"25.04.2019 19:00 - 25.04.2019 19:15","59916","61565"
"25.04.2019 19:15 - 25.04.2019 19:30","59645","61464"
"25.04.2019 19:30 - 25.04.2019 19:45","59269","61090"
"25.04.2019 19:45 - 25.04.2019 20:00","59281","60886"
"25.04.2019 20:00 - 25.04.2019 20:15","58627","60189"
"25.04.2019 20:15 - 25.04.2019 20:30","58273","59638"
"25.04.2019 20:30 - 25.04.2019 20:45","57870","60093"
"25.04.2019 20:45 - 25.04.2019 21:00","57442","60373"
"25.04.2019 21:00 - 25.04.2019 21:15","56893","60001"
"25.04.2019 21:15 - 25.04.2019 21:30","56348","59702"
"25.04.2019 21:30 - 25.04.2019 21:45","55725","58732"
"25.04.2019 21:45 - 25.04.2019 22:00","55061","57578"
"25.04.2019 22:00 - 25.04.2019 22:15","54699","56657"
"25.04.2019 22:15 - 25.04.2019 22:30","53834","55805"
"25.04.2019 22:30 - 25.04.2019 22:45","52823","54681"
"25.04.2019 22:45 - 25.04.2019 23:00","51756","53568"
"25.04.2019 23:00 - 25.04.2019 23:15","50302","52229"
"25.04.2019 23:15 - 25.04.2019 23:30","49530","51461"
"25.04.2019 23:30 - 25.04.2019 23:45","48917","50669"
"25.04.2019 23:45 - 26.04.2019 00:00","48080","49777"
"26.04.2019 00:00 - 26.04.2019 00:15","47671","49008"
"26.04.2019 00:15 - 26.04.2019 00:30","47100","48630"
"26.04.2019 00:30 - 26.04.2019 00:45","46622","47859"
"26.04.2019 00:45 - 26.04.2019 01:00","46237","47208"
"26.04.2019 01:00 - 26.04.2019 01:15","45486","46088"
"26.04.2019 01:15 - 26.04.2019 01:30","45261","45705"
"26.04.2019 01:30 - 26.04.2019 01:45","45020","45178"
"26.04.2019 01:45 - 26.04.2019 02:00","44741","44567"
"26.04.2019 02:00 - 26.04.2019 02:15","44299","43979"
"26.04.2019 02:15 - 26.04.2019 02:30","44079","43748"
"26.04.2019 02:30 - 26.04.2019 02:45","44064","43876"
"26.04.2019 02:45 - 26.04.2019 03:00","44145","43891"
"26.04.2019 03:00 - 26.04.2019 03:15","44342","43988"
"26.04.2019 03:15 - 26.04.2019 03:30","44312","43823"
"26.04.2019 03:30 - 26.04.2019 03:45","44381","44006"
"26.04.2019 03:45 - 26.04.2019 04:00","44518","44216"
"26.04.2019 04:00 - 26.04.2019 04:15","45015","44941"
"26.04.2019 04:15 - 26.04.2019 04:30","45293","45632"
"26.04.2019 04:30 - 26.04.2019 04:45","45623","46202"
"26.04.2019 04:45 - 26.04.2019 05:00","45996","46507"
"26.04.2019 05:00 - 26.04.2019 05:15","47120","47860"
"26.04.2019 05:15 - 26.04.2019 05:30","47555","48767"
"26.04.2019 05:30 - 26.04.2019 05:45","48545","49697"
"26.04.2019 05:45 - 26.04.2019 06:00","49597","51259"
"26.04.2019 06:00 - 26.04.2019 06:15","51918","54095"
"26.04.2019 06:15 - 26.04.2019 06:30","53689","55723"
"26.04.2019 06:30 - 26.04.2019 06:45","54966","56914"
"26.04.2019 06:45 - 26.04.2019 07:00","56003","58137"
"26.04.2019 07:00 - 26.04.2019 07:15","57490","60132"
"26.04.2019 07:15 - 26.04.2019 07:30","58445","61436"
"26.04.2019 07:30 - 26.04.2019 07:45","60235","62608"
"26.04.2019 07:45 - 26.04.2019 08:00","61126","63458"
"26.04.2019 08:00 - 26.04.2019 08:15","61786","64366"
"26.04.2019 08:15 - 26.04.2019 08:30","62372","65289"
"26.04.2019 08:30 - 26.04.2019 08:45","62703","65716"
"26.04.2019 08:45 - 26.04.2019 09:00","62890","66148"
"26.04.2019 09:00 - 26.04.2019 09:15","63051","65856"
"26.04.2019 09:15 - 26.04.2019 09:30","63554","66391"
"26.04.2019 09:30 - 26.04.2019 09:45","63768","67353"
"26.04.2019 09:45 - 26.04.2019 10:00","64070","67824"
"26.04.2019 10:00 - 26.04.2019 10:15","64239","67877"
"26.04.2019 10:15 - 26.04.2019 10:30","64433","68187"
"26.04.2019 10:30 - 26.04.2019 10:45","64714","68444"
"26.04.2019 10:45 - 26.04.2019 11:00","64681","68502"
"26.04.2019 11:00 - 26.04.2019 11:15","64794","68829"
"26.04.2019 11:15 - 26.04.2019 11:30","65416","68845"
"26.04.2019 11:30 - 26.04.2019 11:45","65457","69322"
"26.04.2019 11:45 - 26.04.2019 12:00","65169","69443"
"26.04.2019 12:00 - 26.04.2019 12:15","64893","68704"
"26.04.2019 12:15 - 26.04.2019 12:30","64464","68137"
"26.04.2019 12:30 - 26.04.2019 12:45","64518","68159"
"26.04.2019 12:45 - 26.04.2019 13:00","64242","67665"
"26.04.2019 13:00 - 26.04.2019 13:15","63696","67106"
"26.04.2019 13:15 - 26.04.2019 13:30","63613","66685"
"26.04.2019 13:30 - 26.04.2019 13:45","62932","66214"
"26.04.2019 13:45 - 26.04.2019 14:00","62364","65563"
"26.04.2019 14:00 - 26.04.2019 14:15","62204","65159"
"26.04.2019 14:15 - 26.04.2019 14:30","61745","65104"
"26.04.2019 14:30 - 26.04.2019 14:45","61636","64433"
"26.04.2019 14:45 - 26.04.2019 15:00","61966","63783"
"26.04.2019 15:00 - 26.04.2019 15:15","62152","63354"
"26.04.2019 15:15 - 26.04.2019 15:30","61167","62756"
"26.04.2019 15:30 - 26.04.2019 15:45","60452","62486"
"26.04.2019 15:45 - 26.04.2019 16:00","60223","61998"
"26.04.2019 16:00 - 26.04.2019 16:15","60307","62179"
"26.04.2019 16:15 - 26.04.2019 16:30","59911","61786"
"26.04.2019 16:30 - 26.04.2019 16:45","60317","61645"
"26.04.2019 16:45 - 26.04.2019 17:00","59513","61708"
"26.04.2019 17:00 - 26.04.2019 17:15","59638","61806"
"26.04.2019 17:15 - 26.04.2019 17:30","59619","61461"
"26.04.2019 17:30 - 26.04.2019 17:45","59579","61602"
"26.04.2019 17:45 - 26.04.2019 18:00","59528","61450"
"26.04.2019 18:00 - 26.04.2019 18:15","59303","61466"
"26.04.2019 18:15 - 26.04.2019 18:30","59441","61544"
"26.04.2019 18:30 - 26.04.2019 18:45","59222","61607"
"26.04.2019 18:45 - 26.04.2019 19:00","59064","61395"
"26.04.2019 19:00 - 26.04.2019 19:15","58994","61081"
"26.04.2019 19:15 - 26.04.2019 19:30","58525","60705"
"26.04.2019 19:30 - 26.04.2019 19:45","58181","60478"
"26.04.2019 19:45 - 26.04.2019 20:00","57999","59963"
"26.04.2019 20:00 - 26.04.2019 20:15","57417","59257"
"26.04.2019 20:15 - 26.04.2019 20:30","57108","58908"
"26.04.2019 20:30 - 26.04.2019 20:45","56637","58708"
"26.04.2019 20:45 - 26.04.2019 21:00","56231","58667"
"26.04.2019 21:00 - 26.04.2019 21:15","56007","58239"
"26.04.2019 21:15 - 26.04.2019 21:30","55446","57076"
"26.04.2019 21:30 - 26.04.2019 21:45","55110","56256"
"26.04.2019 21:45 - 26.04.2019 22:00","54413","55483"
"26.04.2019 22:00 - 26.04.2019 22:15","54214","55197"
"26.04.2019 22:15 - 26.04.2019 22:30","53449","54134"
"26.04.2019 22:30 - 26.04.2019 22:45","52556","53017"
"26.04.2019 22:45 - 26.04.2019 23:00","51656","52363"
"26.04.2019 23:00 - 26.04.2019 23:15","50321","51236"
"26.04.2019 23:15 - 26.04.2019 23:30","49369","50434"
"26.04.2019 23:30 - 26.04.2019 23:45","48651","49249"
"26.04.2019 23:45 - 27.04.2019 00:00","47589","48528"
"27.04.2019 00:00 - 27.04.2019 00:15","44492","46684"
"27.04.2019 00:15 - 27.04.2019 00:30","43906","45782"
"27.04.2019 00:30 - 27.04.2019 00:45","43319","45039"
"27.04.2019 00:45 - 27.04.2019 01:00","42745","44527"
"27.04.2019 01:00 - 27.04.2019 01:15","42233","43960"
"27.04.2019 01:15 - 27.04.2019 01:30","41940","43740"
"27.04.2019 01:30 - 27.04.2019 01:45","41600","43270"
"27.04.2019 01:45 - 27.04.2019 02:00","41333","42991"
"27.04.2019 02:00 - 27.04.2019 02:15","41001","42760"
"27.04.2019 02:15 - 27.04.2019 02:30","40486","42677"
"27.04.2019 02:30 - 27.04.2019 02:45","40400","42784"
"27.04.2019 02:45 - 27.04.2019 03:00","40415","42762"
"27.04.2019 03:00 - 27.04.2019 03:15","40386","43043"
"27.04.2019 03:15 - 27.04.2019 03:30","40293","43016"
"27.04.2019 03:30 - 27.04.2019 03:45","40387","42815"
"27.04.2019 03:45 - 27.04.2019 04:00","40368","43113"
"27.04.2019 04:00 - 27.04.2019 04:15","40524","43303"
"27.04.2019 04:15 - 27.04.2019 04:30","40636","43574"
"27.04.2019 04:30 - 27.04.2019 04:45","40871","43686"
"27.04.2019 04:45 - 27.04.2019 05:00","40806","43758"
"27.04.2019 05:00 - 27.04.2019 05:15","41337","44013"
"27.04.2019 05:15 - 27.04.2019 05:30","41212","43892"
"27.04.2019 05:30 - 27.04.2019 05:45","41401","43783"
"27.04.2019 05:45 - 27.04.2019 06:00","41636","43776"
"27.04.2019 06:00 - 27.04.2019 06:15","41799","43850"
"27.04.2019 06:15 - 27.04.2019 06:30","42343","44012"
"27.04.2019 06:30 - 27.04.2019 06:45","42620","44578"
"27.04.2019 06:45 - 27.04.2019 07:00","43089","45281"
"27.04.2019 07:00 - 27.04.2019 07:15","43738","46240"
"27.04.2019 07:15 - 27.04.2019 07:30","44273","46954"
"27.04.2019 07:30 - 27.04.2019 07:45","45918","48212"
"27.04.2019 07:45 - 27.04.2019 08:00","46841","49219"
"27.04.2019 08:00 - 27.04.2019 08:15","47849","50566"
"27.04.2019 08:15 - 27.04.2019 08:30","48937","51379"
"27.04.2019 08:30 - 27.04.2019 08:45","49359","52219"
"27.04.2019 08:45 - 27.04.2019 09:00","49856","52970"
"27.04.2019 09:00 - 27.04.2019 09:15","50859","53617"
"27.04.2019 09:15 - 27.04.2019 09:30","51645","54230"
"27.04.2019 09:30 - 27.04.2019 09:45","52169","55040"
"27.04.2019 09:45 - 27.04.2019 10:00","52787","55603"
"27.04.2019 10:00 - 27.04.2019 10:15","53056","56258"
"27.04.2019 10:15 - 27.04.2019 10:30","53278","56452"
"27.04.2019 10:30 - 27.04.2019 10:45","53797","56758"
"27.04.2019 10:45 - 27.04.2019 11:00","54044","57242"
"27.04.2019 11:00 - 27.04.2019 11:15","54449","57235"
"27.04.2019 11:15 - 27.04.2019 11:30","54889","57373"
"27.04.2019 11:30 - 27.04.2019 11:45","55365","57471"
"27.04.2019 11:45 - 27.04.2019 12:00","54918","57323"
"27.04.2019 12:00 - 27.04.2019 12:15","54577","56807"
"27.04.2019 12:15 - 27.04.2019 12:30","54519","56531"
"27.04.2019 12:30 - 27.04.2019 12:45","54011","56345"
"27.04.2019 12:45 - 27.04.2019 13:00","53875","56059"
"27.04.2019 13:00 - 27.04.2019 13:15","53135","55660"
"27.04.2019 13:15 - 27.04.2019 13:30","53109","55268"
"27.04.2019 13:30 - 27.04.2019 13:45","52571","54684"
"27.04.2019 13:45 - 27.04.2019 14:00","51785","53971"
"27.04.2019 14:00 - 27.04.2019 14:15","51648","53336"
"27.04.2019 14:15 - 27.04.2019 14:30","51222","52715"
"27.04.2019 14:30 - 27.04.2019 14:45","50954","52333"
"27.04.2019 14:45 - 27.04.2019 15:00","51263","52285"
"27.04.2019 15:00 - 27.04.2019 15:15","51374","52195"
"27.04.2019 15:15 - 27.04.2019 15:30","50341","52144"
"27.04.2019 15:30 - 27.04.2019 15:45","50299","52185"
"27.04.2019 15:45 - 27.04.2019 16:00","50224","52025"
"27.04.2019 16:00 - 27.04.2019 16:15","50157","52150"
"27.04.2019 16:15 - 27.04.2019 16:30","50546","51536"
"27.04.2019 16:30 - 27.04.2019 16:45","50788","51338"
"27.04.2019 16:45 - 27.04.2019 17:00","50061","51324"
"27.04.2019 17:00 - 27.04.2019 17:15","50071","51487"
"27.04.2019 17:15 - 27.04.2019 17:30","50282","52017"
"27.04.2019 17:30 - 27.04.2019 17:45","50578","52601"
"27.04.2019 17:45 - 27.04.2019 18:00","50529","52616"
"27.04.2019 18:00 - 27.04.2019 18:15","50737","53190"
"27.04.2019 18:15 - 27.04.2019 18:30","50782","53000"
"27.04.2019 18:30 - 27.04.2019 18:45","50828","53257"
"27.04.2019 18:45 - 27.04.2019 19:00","50794","52962"
"27.04.2019 19:00 - 27.04.2019 19:15","50896","52775"
"27.04.2019 19:15 - 27.04.2019 19:30","50708","52178"
"27.04.2019 19:30 - 27.04.2019 19:45","50436","51979"
"27.04.2019 19:45 - 27.04.2019 20:00","49882","51865"
"27.04.2019 20:00 - 27.04.2019 20:15","49941","51715"
"27.04.2019 20:15 - 27.04.2019 20:30","49814","51113"
"27.04.2019 20:30 - 27.04.2019 20:45","49079","51134"
"27.04.2019 20:45 - 27.04.2019 21:00","49233","50994"
"27.04.2019 21:00 - 27.04.2019 21:15","48907","50805"
"27.04.2019 21:15 - 27.04.2019 21:30","48672","50169"
"27.04.2019 21:30 - 27.04.2019 21:45","48860","49782"
"27.04.2019 21:45 - 27.04.2019 22:00","48616","49134"
"27.04.2019 22:00 - 27.04.2019 22:15","48667","48890"
"27.04.2019 22:15 - 27.04.2019 22:30","47838","48310"
"27.04.2019 22:30 - 27.04.2019 22:45","47001","47583"
"27.04.2019 22:45 - 27.04.2019 23:00","46091","46854"
"27.04.2019 23:00 - 27.04.2019 23:15","45104","45462"
"27.04.2019 23:15 - 27.04.2019 23:30","44416","44499"
"27.04.2019 23:30 - 27.04.2019 23:45","43592","43584"
"27.04.2019 23:45 - 28.04.2019 00:00","42810","42763"
"28.04.2019 00:00 - 28.04.2019 00:15","40135","42485"
"28.04.2019 00:15 - 28.04.2019 00:30","39521","41799"
"28.04.2019 00:30 - 28.04.2019 00:45","38982","41118"
"28.04.2019 00:45 - 28.04.2019 01:00","38567","40628"
"28.04.2019 01:00 - 28.04.2019 01:15","38180","40277"
"28.04.2019 01:15 - 28.04.2019 01:30","37746","39936"
"28.04.2019 01:30 - 28.04.2019 01:45","37334","39480"
"28.04.2019 01:45 - 28.04.2019 02:00","37047","39403"
"28.04.2019 02:00 - 28.04.2019 02:15","36883","39278"
"28.04.2019 02:15 - 28.04.2019 02:30","36713","39128"
"28.04.2019 02:30 - 28.04.2019 02:45","36530","38916"
"28.04.2019 02:45 - 28.04.2019 03:00","36489","38756"
"28.04.2019 03:00 - 28.04.2019 03:15","36364","38781"
"28.04.2019 03:15 - 28.04.2019 03:30","36496","38833"
"28.04.2019 03:30 - 28.04.2019 03:45","36416","38867"
"28.04.2019 03:45 - 28.04.2019 04:00","36427","38805"
"28.04.2019 04:00 - 28.04.2019 04:15","36587","39083"
"28.04.2019 04:15 - 28.04.2019 04:30","36729","39074"
"28.04.2019 04:30 - 28.04.2019 04:45","36719","39158"
"28.04.2019 04:45 - 28.04.2019 05:00","36998","39062"
"28.04.2019 05:00 - 28.04.2019 05:15","37215","39166"
"28.04.2019 05:15 - 28.04.2019 05:30","37157","39256"
"28.04.2019 05:30 - 28.04.2019 05:45","37336","39228"
"28.04.2019 05:45 - 28.04.2019 06:00","37238","38933"
"28.04.2019 06:00 - 28.04.2019 06:15","36941","38994"
"28.04.2019 06:15 - 28.04.2019 06:30","37201","38798"
"28.04.2019 06:30 - 28.04.2019 06:45","37225","39262"
"28.04.2019 06:45 - 28.04.2019 07:00","37636","39619"
"28.04.2019 07:00 - 28.04.2019 07:15","38005","40296"
"28.04.2019 07:15 - 28.04.2019 07:30","38419","40780"
"28.04.2019 07:30 - 28.04.2019 07:45","39588","41497"
"28.04.2019 07:45 - 28.04.2019 08:00","40287","42148"
"28.04.2019 08:00 - 28.04.2019 08:15","41301","42727"
"28.04.2019 08:15 - 28.04.2019 08:30","42294","43891"
"28.04.2019 08:30 - 28.04.2019 08:45","42743","44573"
"28.04.2019 08:45 - 28.04.2019 09:00","43572","45517"
"28.04.2019 09:00 - 28.04.2019 09:15","44426","46300"
"28.04.2019 09:15 - 28.04.2019 09:30","45365","47015"
"28.04.2019 09:30 - 28.04.2019 09:45","46031","47831"
"28.04.2019 09:45 - 28.04.2019 10:00","46601","48493"
"28.04.2019 10:00 - 28.04.2019 10:15","47047","49023"
"28.04.2019 10:15 - 28.04.2019 10:30","47496","49308"
"28.04.2019 10:30 - 28.04.2019 10:45","47805","50060"
"28.04.2019 10:45 - 28.04.2019 11:00","48308","50487"
"28.04.2019 11:00 - 28.04.2019 11:15","49182","51167"
"28.04.2019 11:15 - 28.04.2019 11:30","49724","52167"
"28.04.2019 11:30 - 28.04.2019 11:45","49999","52291"
"28.04.2019 11:45 - 28.04.2019 12:00","49898","52295"
"28.04.2019 12:00 - 28.04.2019 12:15","49754","52159"
"28.04.2019 12:15 - 28.04.2019 12:30","49989","51982"
"28.04.2019 12:30 - 28.04.2019 12:45","49162","51817"
"28.04.2019 12:45 - 28.04.2019 13:00","49221","51535"
"28.04.2019 13:00 - 28.04.2019 13:15","48061","51006"
"28.04.2019 13:15 - 28.04.2019 13:30","48149","50451"
"28.04.2019 13:30 - 28.04.2019 13:45","47821","50083"
"28.04.2019 13:45 - 28.04.2019 14:00","46999","49532"
"28.04.2019 14:00 - 28.04.2019 14:15","46729","49706"
"28.04.2019 14:15 - 28.04.2019 14:30","46094","49365"
"28.04.2019 14:30 - 28.04.2019 14:45","45968","48959"
"28.04.2019 14:45 - 28.04.2019 15:00","46528","48633"
"28.04.2019 15:00 - 28.04.2019 15:15","46582","48603"
"28.04.2019 15:15 - 28.04.2019 15:30","45577","48255"
"28.04.2019 15:30 - 28.04.2019 15:45","45615","47629"
"28.04.2019 15:45 - 28.04.2019 16:00","45551","47274"
"28.04.2019 16:00 - 28.04.2019 16:15","45569","47478"
"28.04.2019 16:15 - 28.04.2019 16:30","46150","47219"
"28.04.2019 16:30 - 28.04.2019 16:45","46144","47045"
"28.04.2019 16:45 - 28.04.2019 17:00","45321","47214"
"28.04.2019 17:00 - 28.04.2019 17:15","45650","47933"
"28.04.2019 17:15 - 28.04.2019 17:30","45800","48283"
"28.04.2019 17:30 - 28.04.2019 17:45","46251","48872"
"28.04.2019 17:45 - 28.04.2019 18:00","46322","48875"
"28.04.2019 18:00 - 28.04.2019 18:15","46702","49638"
"28.04.2019 18:15 - 28.04.2019 18:30","46881","49716"
"28.04.2019 18:30 - 28.04.2019 18:45","46951","50008"
"28.04.2019 18:45 - 28.04.2019 19:00","46793","50056"
"28.04.2019 19:00 - 28.04.2019 19:15","47063","50873"
"28.04.2019 19:15 - 28.04.2019 19:30","46863","50523"
"28.04.2019 19:30 - 28.04.2019 19:45","46979","50518"
"28.04.2019 19:45 - 28.04.2019 20:00","46577","50317"
"28.04.2019 20:00 - 28.04.2019 20:15","46884","50848"
"28.04.2019 20:15 - 28.04.2019 20:30","46934","50579"
"28.04.2019 20:30 - 28.04.2019 20:45","46512","50276"
"28.04.2019 20:45 - 28.04.2019 21:00","46967","50436"
"28.04.2019 21:00 - 28.04.2019 21:15","46641","51086"
"28.04.2019 21:15 - 28.04.2019 21:30","46668","51208"
"28.04.2019 21:30 - 28.04.2019 21:45","46819","50748"
"28.04.2019 21:45 - 28.04.2019 22:00","47068","50820"
"28.04.2019 22:00 - 28.04.2019 22:15","47066","50928"
"28.04.2019 22:15 - 28.04.2019 22:30","46573","50517"
"28.04.2019 22:30 - 28.04.2019 22:45","45988","49770"
"28.04.2019 22:45 - 28.04.2019 23:00","45027","48812"
"28.04.2019 23:00 - 28.04.2019 23:15","44199","47760"
"28.04.2019 23:15 - 28.04.2019 23:30","43352","46949"
"28.04.2019 23:30 - 28.04.2019 23:45","42819","46179"
"28.04.2019 23:45 - 29.04.2019 00:00","42182","45553"
"29.04.2019 00:00 - 29.04.2019 00:15","41157","44983"
"29.04.2019 00:15 - 29.04.2019 00:30","40672","44554"
"29.04.2019 00:30 - 29.04.2019 00:45","40374","43947"
"29.04.2019 00:45 - 29.04.2019 01:00","40119","43678"
"29.04.2019 01:00 - 29.04.2019 01:15","39696","43036"
"29.04.2019 01:15 - 29.04.2019 01:30","39426","42957"
"29.04.2019 01:30 - 29.04.2019 01:45","39175","42998"
"29.04.2019 01:45 - 29.04.2019 02:00","39035","42615"
"29.04.2019 02:00 - 29.04.2019 02:15","39039","42166"
"29.04.2019 02:15 - 29.04.2019 02:30","39009","42335"
"29.04.2019 02:30 - 29.04.2019 02:45","39009","42508"
"29.04.2019 02:45 - 29.04.2019 03:00","39106","42417"
"29.04.2019 03:00 - 29.04.2019 03:15","39269","42701"
"29.04.2019 03:15 - 29.04.2019 03:30","39330","43136"
"29.04.2019 03:30 - 29.04.2019 03:45","39526","43268"
"29.04.2019 03:45 - 29.04.2019 04:00","39750","43481"
"29.04.2019 04:00 - 29.04.2019 04:15","40434","43844"
"29.04.2019 04:15 - 29.04.2019 04:30","40855","44409"
"29.04.2019 04:30 - 29.04.2019 04:45","41423","45413"
"29.04.2019 04:45 - 29.04.2019 05:00","42042","46145"
"29.04.2019 05:00 - 29.04.2019 05:15","43534","47577"
"29.04.2019 05:15 - 29.04.2019 05:30","44275","48828"
"29.04.2019 05:30 - 29.04.2019 05:45","45585","50218"
"29.04.2019 05:45 - 29.04.2019 06:00","47336","51505"
"29.04.2019 06:00 - 29.04.2019 06:15","50165","54349"
"29.04.2019 06:15 - 29.04.2019 06:30","52118","56292"
"29.04.2019 06:30 - 29.04.2019 06:45","53617","57876"
"29.04.2019 06:45 - 29.04.2019 07:00","54964","59384"
"29.04.2019 07:00 - 29.04.2019 07:15","56325","60881"
"29.04.2019 07:15 - 29.04.2019 07:30","57504","62168"
"29.04.2019 07:30 - 29.04.2019 07:45","58339","62847"
"29.04.2019 07:45 - 29.04.2019 08:00","59492","63549"
"29.04.2019 08:00 - 29.04.2019 08:15","60007","64249"
"29.04.2019 08:15 - 29.04.2019 08:30","60594","64863"
"29.04.2019 08:30 - 29.04.2019 08:45","60894","65235"
"29.04.2019 08:45 - 29.04.2019 09:00","61067","65351"
"29.04.2019 09:00 - 29.04.2019 09:15","60807","65124"
"29.04.2019 09:15 - 29.04.2019 09:30","61562","65355"
"29.04.2019 09:30 - 29.04.2019 09:45","61894","65762"
"29.04.2019 09:45 - 29.04.2019 10:00","61949","66130"
"29.04.2019 10:00 - 29.04.2019 10:15","62019","66583"
"29.04.2019 10:15 - 29.04.2019 10:30","62286","66785"
"29.04.2019 10:30 - 29.04.2019 10:45","62441","66938"
"29.04.2019 10:45 - 29.04.2019 11:00","62661","67362"
"29.04.2019 11:00 - 29.04.2019 11:15","63056","67446"
"29.04.2019 11:15 - 29.04.2019 11:30","63282","67889"
"29.04.2019 11:30 - 29.04.2019 11:45","63446","68441"
"29.04.2019 11:45 - 29.04.2019 12:00","63821","68559"
"29.04.2019 12:00 - 29.04.2019 12:15","62742","68199"
"29.04.2019 12:15 - 29.04.2019 12:30","62058","67770"
"29.04.2019 12:30 - 29.04.2019 12:45","62448","67662"
"29.04.2019 12:45 - 29.04.2019 13:00","61958","67520"
"29.04.2019 13:00 - 29.04.2019 13:15","62539","67624"
"29.04.2019 13:15 - 29.04.2019 13:30","62114","67513"
"29.04.2019 13:30 - 29.04.2019 13:45","61633","67081"
"29.04.2019 13:45 - 29.04.2019 14:00","61567","66506"
"29.04.2019 14:00 - 29.04.2019 14:15","61298","66518"
"29.04.2019 14:15 - 29.04.2019 14:30","60928","66413"
"29.04.2019 14:30 - 29.04.2019 14:45","60374","66278"
"29.04.2019 14:45 - 29.04.2019 15:00","60520","66152"
"29.04.2019 15:00 - 29.04.2019 15:15","60096","66595"
"29.04.2019 15:15 - 29.04.2019 15:30","60206","66221"
"29.04.2019 15:30 - 29.04.2019 15:45","59777","65690"
"29.04.2019 15:45 - 29.04.2019 16:00","59488","65523"
"29.04.2019 16:00 - 29.04.2019 16:15","58555","65357"
"29.04.2019 16:15 - 29.04.2019 16:30","58109","64985"
"29.04.2019 16:30 - 29.04.2019 16:45","57715","64703"
"29.04.2019 16:45 - 29.04.2019 17:00","58324","64322"
"29.04.2019 17:00 - 29.04.2019 17:15","58349","64188"
"29.04.2019 17:15 - 29.04.2019 17:30","58186","64591"
"29.04.2019 17:30 - 29.04.2019 17:45","57733","64503"
"29.04.2019 17:45 - 29.04.2019 18:00","58250","64598"
"29.04.2019 18:00 - 29.04.2019 18:15","58287","64414"
"29.04.2019 18:15 - 29.04.2019 18:30","58226","64148"
"29.04.2019 18:30 - 29.04.2019 18:45","58399","64244"
"29.04.2019 18:45 - 29.04.2019 19:00","58291","64392"
