"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"26.03.2019 15:00 - 26.03.2019 15:15","7922","8357","5434","3574","3881","3432","19103","19587","10339"
"26.03.2019 15:15 - 26.03.2019 15:30","7314","7704","5081","3546","3864","3375","18869","19335","9708"
"26.03.2019 15:30 - 26.03.2019 15:45","6654","7016","4655","3516","3845","3312","18633","19079","9132"
"26.03.2019 15:45 - 26.03.2019 16:00","5971","6308","4120","3482","3818","3194","18393","18795","8662"
"26.03.2019 16:00 - 26.03.2019 16:15","5278","5575","3709","3459","3788","3083","18124","18474","8423"
"26.03.2019 16:15 - 26.03.2019 16:30","4579","4834","3200","3403","3733","2983","17628","17935","8279"
"26.03.2019 16:30 - 26.03.2019 16:45","3877","4088","2671","3350","3673","2869","17124","17404","8209"
"26.03.2019 16:45 - 26.03.2019 17:00","3164","3331","2178","3294","3610","2753","16634","16877","8123"
"26.03.2019 17:00 - 26.03.2019 17:15","2464","2584","1656","3239","3544","2637","16084","16331","7966"
"26.03.2019 17:15 - 26.03.2019 17:30","1800","1872","1115","3188","3462","2547","15428","15667","7795"
"26.03.2019 17:30 - 26.03.2019 17:45","1214","1239","698","3143","3382","2469","14755","14986","7507"
"26.03.2019 17:45 - 26.03.2019 18:00","709","728","390","3089","3301","2377","14176","14409","7160"
"26.03.2019 18:00 - 26.03.2019 18:15","359","362","195","3040","3223","2271","13611","13850","6945"
"26.03.2019 18:15 - 26.03.2019 18:30","138","134","80","2986","3146","2211","13195","13449","6866"
"26.03.2019 18:30 - 26.03.2019 18:45","26","30","19","2930","3067","2168","12773","13051","6822"
"26.03.2019 18:45 - 26.03.2019 19:00","2","3","1","2872","2990","2141","12368","12661","6638"
"26.03.2019 19:00 - 26.03.2019 19:15","0","0","0","2812","2914","2029","11981","12285","6444"
"26.03.2019 19:15 - 26.03.2019 19:30","0","0","0","2729","2837","1929","11714","11957","6207"
"26.03.2019 19:30 - 26.03.2019 19:45","0","0","0","2649","2767","1845","11442","11620","6158"
"26.03.2019 19:45 - 26.03.2019 20:00","0","0","0","2566","2688","1775","11165","11283","6060"
"26.03.2019 20:00 - 26.03.2019 20:15","0","0","0","2488","2613","1701","10919","11034","5979"
"26.03.2019 20:15 - 26.03.2019 20:30","0","0","0","2417","2541","1666","10742","10826","5854"
"26.03.2019 20:30 - 26.03.2019 20:45","0","0","0","2343","2467","1473","10568","10623","5746"
"26.03.2019 20:45 - 26.03.2019 21:00","0","0","0","2268","2399","1406","10388","10415","5679"
"26.03.2019 21:00 - 26.03.2019 21:15","0","0","0","2205","2348","1355","10195","10204","5533"
"26.03.2019 21:15 - 26.03.2019 21:30","0","0","0","2147","2327","1307","9983","9993","5334"
"26.03.2019 21:30 - 26.03.2019 21:45","0","0","0","2091","2310","1286","9767","9784","5238"
"26.03.2019 21:45 - 26.03.2019 22:00","0","0","0","2041","2293","1254","9550","9583","5036"
"26.03.2019 22:00 - 26.03.2019 22:15","0","0","0","2000","2284","1239","9300","9331","4813"
"26.03.2019 22:15 - 26.03.2019 22:30","0","0","0","1992","2306","1252","9150","9193","4643"
"26.03.2019 22:30 - 26.03.2019 22:45","0","0","0","1985","2331","1292","9000","9048","4605"
"26.03.2019 22:45 - 26.03.2019 23:00","0","0","0","1980","2352","1322","8844","8900","4524"
"26.03.2019 23:00 - 26.03.2019 23:15","0","0","0","1979","2373","1363","8682","8766","4452"
"26.03.2019 23:15 - 26.03.2019 23:30","0","0","0","2004","2402","1394","8522","8624","4453"
"26.03.2019 23:30 - 26.03.2019 23:45","0","0","0","2032","2426","1445","8363","8482","4386"
"26.03.2019 23:45 - 27.03.2019 00:00","0","0","0","2057","2461","1506","8217","8337","4245"
"27.03.2019 00:00 - 27.03.2019 00:15","0","0","0","1688","1766","1559","7686","7636","4181"
"27.03.2019 00:15 - 27.03.2019 00:30","0","0","0","1713","1761","1551","7534","7590","4195"
"27.03.2019 00:30 - 27.03.2019 00:45","0","0","0","1736","1773","1564","7377","7531","4218"
"27.03.2019 00:45 - 27.03.2019 01:00","0","0","0","1762","1841","1611","7224","7390","4104"
"27.03.2019 01:00 - 27.03.2019 01:15","0","0","0","1789","1971","1718","7093","7202","3952"
"27.03.2019 01:15 - 27.03.2019 01:30","0","0","0","1840","2003","1744","7051","7132","3881"
"27.03.2019 01:30 - 27.03.2019 01:45","0","0","0","1890","2003","1746","7006","7145","3871"
"27.03.2019 01:45 - 27.03.2019 02:00","0","0","0","1939","1994","1748","6971","7160","3886"
"27.03.2019 02:00 - 27.03.2019 02:15","0","0","0","1994","2042","1816","6891","7055","3794"
"27.03.2019 02:15 - 27.03.2019 02:30","0","0","0","2065","2021","1776","6876","6960","3706"
"27.03.2019 02:30 - 27.03.2019 02:45","0","0","0","2131","1979","1716","6867","7089","3821"
"27.03.2019 02:45 - 27.03.2019 03:00","0","0","0","2193","2095","1814","6853","7131","3820"
"27.03.2019 03:00 - 27.03.2019 03:15","0","0","0","2258","2216","1918","6835","7024","3757"
"27.03.2019 03:15 - 27.03.2019 03:30","0","0","0","2330","2314","1998","6821","6833","3614"
"27.03.2019 03:30 - 27.03.2019 03:45","0","0","0","2400","2379","2046","6803","6754","3582"
"27.03.2019 03:45 - 27.03.2019 04:00","0","0","0","2467","2390","2040","6778","6690","3563"
"27.03.2019 04:00 - 27.03.2019 04:15","0","0","0","2530","2419","2051","6764","6663","3579"
"27.03.2019 04:15 - 27.03.2019 04:30","0","0","0","2619","2483","2104","6765","6587","3541"
"27.03.2019 04:30 - 27.03.2019 04:45","0","0","0","2712","2612","2222","6759","6514","3506"
"27.03.2019 04:45 - 27.03.2019 05:00","0","0","0","2800","2666","2265","6762","6465","3487"
"27.03.2019 05:00 - 27.03.2019 05:15","0","0","0","2889","2703","2291","6768","6455","3504"
"27.03.2019 05:15 - 27.03.2019 05:30","0","0","0","2956","2706","2281","6798","6508","3565"
"27.03.2019 05:30 - 27.03.2019 05:45","0","0","0","3023","2745","2308","6833","6592","3656"
"27.03.2019 05:45 - 27.03.2019 06:00","1","0","0","3093","2828","2379","6864","6604","3672"
"27.03.2019 06:00 - 27.03.2019 06:15","35","31","21","3153","2819","2357","6954","6748","3795"
"27.03.2019 06:15 - 27.03.2019 06:30","144","171","85","3204","2880","2394","7036","6733","3779"
"27.03.2019 06:30 - 27.03.2019 06:45","346","435","237","3251","2970","2460","7121","6739","3784"
"27.03.2019 06:45 - 27.03.2019 07:00","752","838","504","3301","3015","2482","7205","6730","3779"
"27.03.2019 07:00 - 27.03.2019 07:15","1224","1361","851","3347","3071","2516","7276","6772","3829"
"27.03.2019 07:15 - 27.03.2019 07:30","1799","1969","1315","3360","3052","2478","7358","6666","3723"
"27.03.2019 07:30 - 27.03.2019 07:45","2439","2646","1802","3369","3054","2462","7450","6589","3644"
"27.03.2019 07:45 - 27.03.2019 08:00","3086","3334","2329","3384","3126","2429","7543","6586","3694"
"27.03.2019 08:00 - 27.03.2019 08:15","3763","4077","2871","3389","3189","2409","7652","6559","3703"
"27.03.2019 08:15 - 27.03.2019 08:30","4457","4805","3615","3396","3226","2376","7754","6583","3608"
"27.03.2019 08:30 - 27.03.2019 08:45","5161","5560","4249","3390","3264","2379","7860","6604","3614"
"27.03.2019 08:45 - 27.03.2019 09:00","5830","6272","4882","3392","3302","2349","7970","6628","3727"
"27.03.2019 09:00 - 27.03.2019 09:15","6475","6950","5454","3394","3335","2379","8080","6651","3649"
"27.03.2019 09:15 - 27.03.2019 09:30","7069","7578","6043","3402","3357","2410","8197","6687","3594"
"27.03.2019 09:30 - 27.03.2019 09:45","7609","8145","6558","3415","3376","2490","8309","6724","3571"
"27.03.2019 09:45 - 27.03.2019 10:00","8095","8650","7076","3420","3397","2443","8430","6760","3634"
"27.03.2019 10:00 - 27.03.2019 10:15","8529","9110","7489","3429","3419","2378","8540","6814","3594"
"27.03.2019 10:15 - 27.03.2019 10:30","8918","9500","7825","3429","3425","2216","8672","6949","3639"
"27.03.2019 10:30 - 27.03.2019 10:45","9244","9833","8153","3427","3434","2141","8807","7082","3855"
"27.03.2019 10:45 - 27.03.2019 11:00","9496","10086","8444","3426","3436","2010","8935","7222","4129"
"27.03.2019 11:00 - 27.03.2019 11:15","9706","10294","8689","3426","3447","2011","9062","7370","4261"
"27.03.2019 11:15 - 27.03.2019 11:30","9879","10457","9113","3432","3461","2109","9189","7546","4320"
"27.03.2019 11:30 - 27.03.2019 11:45","9977","10537","9150","3435","3467","2150","9323","7731","4468"
"27.03.2019 11:45 - 27.03.2019 12:00","10003","10544","9201","3442","3478","2152","9446","7910","4680"
"27.03.2019 12:00 - 27.03.2019 12:15","9978","10507","9137","3445","3486","2250","9576","8097","4759"
"27.03.2019 12:15 - 27.03.2019 12:30","9913","10453","9142","3451","3494","2285","9681","8272","4864"
"27.03.2019 12:30 - 27.03.2019 12:45","9785","10319","8953","3460","3511","2415","9786","8445","5041"
"27.03.2019 12:45 - 27.03.2019 13:00","9605","10134","8653","3469","3527","2406","9887","8615","5267"
"27.03.2019 13:00 - 27.03.2019 13:15","9389","9909","8501","3476","3536","2382","9983","8769","5459"
"27.03.2019 13:15 - 27.03.2019 13:30","9157","9657","8164","3472","3544","2373","10029","8855","5477"
"27.03.2019 13:30 - 27.03.2019 13:45","8874","9346","7817","3469","3548","2346","10074","8945","5476"
"27.03.2019 13:45 - 27.03.2019 14:00","8556","9005","7464","3464","3551","2392","10119","9039","5512"
"27.03.2019 14:00 - 27.03.2019 14:15","8225","8620","7128","3457","3388","2402","10157","9387","5540"
"27.03.2019 14:15 - 27.03.2019 14:30","7844","8204","6715","3440","3390","2398","10166","9407","5471"
"27.03.2019 14:30 - 27.03.2019 14:45","7427","7779","6317","3423","3389","2395","10176","9428","5512"
"27.03.2019 14:45 - 27.03.2019 15:00","6983","7346","5898","3406","3388","2403","10181","9445","5537"
"27.03.2019 15:00 - 27.03.2019 15:15","6510","6878","5569","3390","3381","2424","10176","9458","5590"
"27.03.2019 15:15 - 27.03.2019 15:30","6033","6380","5189","3387","3381","2407","10134","9463","5513"
"27.03.2019 15:30 - 27.03.2019 15:45","5529","5841","4710","3387","3378","2399","10091","9472","5414"
"27.03.2019 15:45 - 27.03.2019 16:00","5008","5278","4202","3383","3376","2386","10045","9478","5308"
"27.03.2019 16:00 - 27.03.2019 16:15","4463","4692","3741","3377","3365","2396","9998","9481","5114"
"27.03.2019 16:15 - 27.03.2019 16:30","3888","4104","3191","3356","3338","2372","9934","9433","4976"
"27.03.2019 16:30 - 27.03.2019 16:45","3315","3488","2685","3336","3300","2363","9864","9391","4866"
"27.03.2019 16:45 - 27.03.2019 17:00","2762","2888","2234","3320","3274","2407","9794","9336","4750"
"27.03.2019 17:00 - 27.03.2019 17:15","2189","2266","1760","3301","3240","2429","9731","9279","4773"
"27.03.2019 17:15 - 27.03.2019 17:30","1581","1671","1260","3256","3192","2373","9717","9223","4643"
"27.03.2019 17:30 - 27.03.2019 17:45","1090","1137","831","3226","3148","2304","9696","9172","4561"
"27.03.2019 17:45 - 27.03.2019 18:00","684","694","482","3186","3103","2236","9679","9118","4583"
"27.03.2019 18:00 - 27.03.2019 18:15","360","357","242","3145","3060","2181","9663","9060","4533"
"27.03.2019 18:15 - 27.03.2019 18:30","139","141","101","3077","2998","2110","9660","8996","4445"
"27.03.2019 18:30 - 27.03.2019 18:45","31","34","27","3012","2936","1998","9654","8933","4506"
"27.03.2019 18:45 - 27.03.2019 19:00","2","4","2","2948","2882","1956","9645","8871","4500"
"27.03.2019 19:00 - 27.03.2019 19:15","0","0","0","2882","2827","1920","9625","8816","4448"
"27.03.2019 19:15 - 27.03.2019 19:30","0","0","0","2810","2765","1837","9563","8749","4227"
"27.03.2019 19:30 - 27.03.2019 19:45","0","0","0","2745","2702","1717","9489","8679","4012"
"27.03.2019 19:45 - 27.03.2019 20:00","0","0","0","2678","2639","1603","9423","8609","3809"
"27.03.2019 20:00 - 27.03.2019 20:15","0","0","0","2613","2583","1532","9330","8602","3643"
"27.03.2019 20:15 - 27.03.2019 20:30","0","0","0","2561","2518","1507","9266","8560","3464"
"27.03.2019 20:30 - 27.03.2019 20:45","0","0","0","2511","2457","1492","9199","8514","3357"
"27.03.2019 20:45 - 27.03.2019 21:00","0","0","0","2454","2395","1444","9126","8469","3255"
"27.03.2019 21:00 - 27.03.2019 21:15","0","0","0","2398","2344","1398","9044","8408","3188"
"27.03.2019 21:15 - 27.03.2019 21:30","0","0","0","2334","2301","1335","8961","8334","3191"
"27.03.2019 21:30 - 27.03.2019 21:45","0","0","0","2270","2257","1269","8879","8262","3224"
"27.03.2019 21:45 - 27.03.2019 22:00","0","0","0","2206","2219","1196","8791","8183","3247"
"27.03.2019 22:00 - 27.03.2019 22:15","0","0","0","2144","2178","1142","8655","8061","3190"
"27.03.2019 22:15 - 27.03.2019 22:30","0","0","0","2082","2138","1104","8535","7966","3110"
"27.03.2019 22:30 - 27.03.2019 22:45","0","0","0","2022","2101","1065","8412","7865","3119"
"27.03.2019 22:45 - 27.03.2019 23:00","0","0","0","1967","2054","1028","8289","7773","3102"
"27.03.2019 23:00 - 27.03.2019 23:15","0","0","0","1912","2016","982","8165","7667","3121"
"27.03.2019 23:15 - 27.03.2019 23:30","0","0","0","1863","1983","946","8039","7551","3117"
"27.03.2019 23:30 - 27.03.2019 23:45","0","0","0","1812","1949","945","7918","7435","3152"
"27.03.2019 23:45 - 28.03.2019 00:00","0","0","0","1755","1920","925","7804","7314","3172"
"28.03.2019 00:00 - 28.03.2019 00:15","0","0","0","1570","1365","929","7816","7397","3043"
"28.03.2019 00:15 - 28.03.2019 00:30","0","0","0","1532","1352","908","7755","7239","2920"
"28.03.2019 00:30 - 28.03.2019 00:45","0","0","0","1496","1307","893","7688","7220","2914"
"28.03.2019 00:45 - 28.03.2019 01:00","0","0","0","1457","1269","877","7614","7232","2929"
"28.03.2019 01:00 - 28.03.2019 01:15","0","0","0","1415","1215","842","7545","7217","2941"
"28.03.2019 01:15 - 28.03.2019 01:30","0","0","0","1377","1205","827","7462","7242","2907"
"28.03.2019 01:30 - 28.03.2019 01:45","0","0","0","1338","1153","806","7379","7239","2903"
"28.03.2019 01:45 - 28.03.2019 02:00","0","0","0","1298","1081","775","7294","7303","3059"
"28.03.2019 02:00 - 28.03.2019 02:15","0","0","0","1262","1043","765","7170","7305","3093"
"28.03.2019 02:15 - 28.03.2019 02:30","0","0","0","1231","1061","777","7089","7067","2890"
"28.03.2019 02:30 - 28.03.2019 02:45","0","0","0","1191","952","687","7021","6985","2886"
"28.03.2019 02:45 - 28.03.2019 03:00","0","0","0","1159","917","662","6950","6923","2857"
"28.03.2019 03:00 - 28.03.2019 03:15","0","0","0","1124","899","653","6875","6865","2833"
"28.03.2019 03:15 - 28.03.2019 03:30","0","0","0","1097","922","687","6788","6712","2719"
"28.03.2019 03:30 - 28.03.2019 03:45","0","0","0","1069","889","664","6698","6703","2750"
"28.03.2019 03:45 - 28.03.2019 04:00","0","0","0","1033","836","621","6612","6648","2731"
"28.03.2019 04:00 - 28.03.2019 04:15","0","0","0","1008","790","585","6518","6492","2610"
"28.03.2019 04:15 - 28.03.2019 04:30","0","0","0","977","737","544","6401","6292","2455"
"28.03.2019 04:30 - 28.03.2019 04:45","0","0","0","954","664","483","6278","6140","2347"
"28.03.2019 04:45 - 28.03.2019 05:00","0","0","0","925","607","440","6157","6052","2300"
"28.03.2019 05:00 - 28.03.2019 05:15","0","0","0","909","558","406","6038","5986","2278"
"28.03.2019 05:15 - 28.03.2019 05:30","0","0","0","901","542","401","5931","5798","2142"
"28.03.2019 05:30 - 28.03.2019 05:45","0","0","0","891","540","411","5825","5730","2127"
"28.03.2019 05:45 - 28.03.2019 06:00","1","0","0","883","554","436","5723","5665","2111"
"28.03.2019 06:00 - 28.03.2019 06:15","47","38","35","875","599","489","5652","5554","2023"
"28.03.2019 06:15 - 28.03.2019 06:30","187","193","146","873","559","456","5542","5381","1915"
"28.03.2019 06:30 - 28.03.2019 06:45","520","526","370","866","489","392","5430","5370","1968"
"28.03.2019 06:45 - 28.03.2019 07:00","994","1059","735","868","457","367","5309","5299","1961"
"28.03.2019 07:00 - 28.03.2019 07:15","1616","1750","1234","855","446","362","5184","5230","1962"
"28.03.2019 07:15 - 28.03.2019 07:30","2324","2523","1842","842","436","355","5041","5120","1911"
"28.03.2019 07:30 - 28.03.2019 07:45","3096","3371","2447","832","458","381","4899","5117","1966"
"28.03.2019 07:45 - 28.03.2019 08:00","3882","4245","3127","823","471","382","4745","5002","1970"
"28.03.2019 08:00 - 28.03.2019 08:15","4691","5152","3817","815","486","423","4563","4878","1895"
"28.03.2019 08:15 - 28.03.2019 08:30","5506","6087","4693","804","486","409","4440","4770","1711"
"28.03.2019 08:30 - 28.03.2019 08:45","6342","6998","5554","794","490","379","4312","4656","1625"
"28.03.2019 08:45 - 28.03.2019 09:00","7168","7881","6429","784","494","367","4132","4486","1520"
"28.03.2019 09:00 - 28.03.2019 09:15","7954","8717","7226","777","499","371","3962","4330","1463"
"28.03.2019 09:15 - 28.03.2019 09:30","8691","9506","8046","773","503","379","3830","4211","1351"
"28.03.2019 09:30 - 28.03.2019 09:45","9370","10227","8807","763","513","366","3706","4090","1339"
"28.03.2019 09:45 - 28.03.2019 10:00","9985","10890","9408","756","519","368","3710","4129","1349"
"28.03.2019 10:00 - 28.03.2019 10:15","10546","11490","9991","749","526","378","3709","4163","1315"
"28.03.2019 10:15 - 28.03.2019 10:30","11063","11989","10505","729","523","359","3659","4101","1330"
"28.03.2019 10:30 - 28.03.2019 10:45","11464","12387","10909","710","520","324","3609","4042","1431"
"28.03.2019 10:45 - 28.03.2019 11:00","11792","12698","11233","698","522","327","3564","3995","1510"
"28.03.2019 11:00 - 28.03.2019 11:15","12062","12944","11374","676","519","339","3523","3958","1511"
"28.03.2019 11:15 - 28.03.2019 11:30","12274","13125","11598","659","518","337","3476","3913","1515"
"28.03.2019 11:30 - 28.03.2019 11:45","12379","13183","11542","640","516","298","3430","3870","1680"
"28.03.2019 11:45 - 28.03.2019 12:00","12379","13113","11616","620","512","291","3394","3832","1727"
"28.03.2019 12:00 - 28.03.2019 12:15","12308","12978","11269","605","509","296","3347","3798","1734"
"28.03.2019 12:15 - 28.03.2019 12:30","12177","12774","10999","593","510","298","3305","3748","1553"
"28.03.2019 12:30 - 28.03.2019 12:45","11974","12489","10672","583","513","261","3260","3696","1541"
"28.03.2019 12:45 - 28.03.2019 13:00","11717","12159","10158","573","518","260","3219","3640","1490"
"28.03.2019 13:00 - 28.03.2019 13:15","11409","11780","9654","566","520","215","3177","3583","1482"
"28.03.2019 13:15 - 28.03.2019 13:30","11057","11364","9127","563","514","212","3117","3499","1443"
"28.03.2019 13:30 - 28.03.2019 13:45","10653","10899","8623","561","509","196","3056","3417","1503"
"28.03.2019 13:45 - 28.03.2019 14:00","10213","10408","8134","555","507","214","2998","3335","1438"
"28.03.2019 14:00 - 28.03.2019 14:15","9805","9896","7646","555","576","213","2939","3160","1351"
"28.03.2019 14:15 - 28.03.2019 14:30","9320","9374","7208","557","580","198","2883","3095","1243"
"28.03.2019 14:30 - 28.03.2019 14:45","8830","8864","6778","559","583","199","2825","3021","1227"
"28.03.2019 14:45 - 28.03.2019 15:00","8330","8359","6322","558","589","210","2773","2953","1230"
"28.03.2019 15:00 - 28.03.2019 15:15","7790","7814","5988","564","594","229","2711","2881","1200"
"28.03.2019 15:15 - 28.03.2019 15:30","7216","7232","5519","573","600","246","2630","2799","1152"
"28.03.2019 15:30 - 28.03.2019 15:45","6608","6613","5077","582","608","272","2550","2716","1144"
"28.03.2019 15:45 - 28.03.2019 16:00","5975","5969","4561","595","614","302","2465","2637","1093"
"28.03.2019 16:00 - 28.03.2019 16:15","5315","5307","4049","603","622","319","2385","2557","1063"
"28.03.2019 16:15 - 28.03.2019 16:30","4639","4637","3540","617","636","333","2320","2506","999"
"28.03.2019 16:30 - 28.03.2019 16:45","3957","3943","2997","632","656","340","2255","2451","1071"
"28.03.2019 16:45 - 28.03.2019 17:00","3269","3250","2494","648","671","374","2187","2401","1106"
"28.03.2019 17:00 - 28.03.2019 17:15","2588","2563","1957","667","691","385","2122","2353","1119"
"28.03.2019 17:15 - 28.03.2019 17:30","1943","1907","1409","685","704","388","2075","2324","1108"
"28.03.2019 17:30 - 28.03.2019 17:45","1295","1304","921","701","717","404","2035","2298","1136"
"28.03.2019 17:45 - 28.03.2019 18:00","824","817","567","719","727","410","2004","2282","1116"
"28.03.2019 18:00 - 28.03.2019 18:15","453","437","287","738","736","425","1984","2281","1076"
"28.03.2019 18:15 - 28.03.2019 18:30","200","183","125","747","741","411","2008","2317","1050"
"28.03.2019 18:30 - 28.03.2019 18:45","51","52","37","756","750","394","2035","2352","1120"
"28.03.2019 18:45 - 28.03.2019 19:00","5","6","4","765","750","390","2060","2391","1169"
"28.03.2019 19:00 - 28.03.2019 19:15","0","0","0","782","759","389","2080","2424","1229"
"28.03.2019 19:15 - 28.03.2019 19:30","0","0","0","810","777","401","2127","2482","1232"
"28.03.2019 19:30 - 28.03.2019 19:45","0","0","0","837","796","424","2170","2534","1279"
"28.03.2019 19:45 - 28.03.2019 20:00","0","0","0","866","819","408","2211","2580","1256"
"28.03.2019 20:00 - 28.03.2019 20:15","0","0","0","896","845","405","2247","2608","1255"
"28.03.2019 20:15 - 28.03.2019 20:30","0","0","0","931","879","395","2294","2681","1230"
"28.03.2019 20:30 - 28.03.2019 20:45","0","0","0","962","917","399","2344","2750","1263"
"28.03.2019 20:45 - 28.03.2019 21:00","0","0","0","994","957","398","2395","2818","1317"
"28.03.2019 21:00 - 28.03.2019 21:15","0","0","0","1023","995","412","2450","2875","1343"
"28.03.2019 21:15 - 28.03.2019 21:30","0","0","0","1048","1036","416","2503","2928","1293"
"28.03.2019 21:30 - 28.03.2019 21:45","0","0","0","1072","1076","417","2555","2980","1307"
"28.03.2019 21:45 - 28.03.2019 22:00","0","0","0","1097","1114","410","2607","3030","1349"
"28.03.2019 22:00 - 28.03.2019 22:15","0","0","0","1126","1154","411","2639","3061","1399"
"28.03.2019 22:15 - 28.03.2019 22:30","0","0","0","1155","1193","422","2657","3059","1382"
"28.03.2019 22:30 - 28.03.2019 22:45","0","0","0","1187","1231","445","2670","3057","1383"
"28.03.2019 22:45 - 28.03.2019 23:00","0","0","0","1217","1275","450","2679","3051","1390"
"28.03.2019 23:00 - 28.03.2019 23:15","0","0","0","1250","1323","469","2694","3044","1368"
"28.03.2019 23:15 - 28.03.2019 23:30","0","0","0","1283","1382","495","2705","3026","1343"
"28.03.2019 23:30 - 28.03.2019 23:45","0","0","0","1318","1435","514","2717","3014","1400"
"28.03.2019 23:45 - 29.03.2019 00:00","0","0","0","1348","1485","563","2735","3001","1400"
"29.03.2019 00:00 - 29.03.2019 00:15","0","0","0","1194","1313","597","2725","2863","1441"
"29.03.2019 00:15 - 29.03.2019 00:30","0","0","0","1237","1390","679","2719","2942","1527"
"29.03.2019 00:30 - 29.03.2019 00:45","0","0","0","1280","1462","763","2712","3054","1647"
"29.03.2019 00:45 - 29.03.2019 01:00","0","0","0","1326","1550","861","2697","3067","1687"
"29.03.2019 01:00 - 29.03.2019 01:15","0","0","0","1378","1563","908","2703","3077","1751"
"29.03.2019 01:15 - 29.03.2019 01:30","0","0","0","1434","1617","991","2737","3099","1799"
"29.03.2019 01:30 - 29.03.2019 01:45","0","0","0","1498","1668","1044","2762","3111","1834"
"29.03.2019 01:45 - 29.03.2019 02:00","0","0","0","1561","1717","1099","2812","3283","2011"
"29.03.2019 02:00 - 29.03.2019 02:15","0","0","0","1619","1812","1202","2877","3334","2071"
"29.03.2019 02:15 - 29.03.2019 02:30","0","0","0","1696","1917","1305","2975","3341","2094"
"29.03.2019 02:30 - 29.03.2019 02:45","0","0","0","1772","2088","1467","3077","3364","2136"
"29.03.2019 02:45 - 29.03.2019 03:00","0","0","0","1853","2164","1539","3179","3513","2266"
"29.03.2019 03:00 - 29.03.2019 03:15","0","0","0","1933","2224","1593","3289","3602","2350"
"29.03.2019 03:15 - 29.03.2019 03:30","0","0","0","2012","2269","1643","3401","3672","2416"
"29.03.2019 03:30 - 29.03.2019 03:45","0","0","0","2088","2364","1743","3508","3749","2490"
"29.03.2019 03:45 - 29.03.2019 04:00","0","0","0","2163","2445","1829","3635","3855","2592"
"29.03.2019 04:00 - 29.03.2019 04:15","0","0","0","2233","2566","1955","3747","3901","2633"
"29.03.2019 04:15 - 29.03.2019 04:30","0","0","0","2307","2615","2002","3833","3974","2704"
"29.03.2019 04:30 - 29.03.2019 04:45","0","0","0","2380","2690","2075","3919","4100","2827"
"29.03.2019 04:45 - 29.03.2019 05:00","0","0","0","2454","2747","2130","3997","4194","2922"
"29.03.2019 05:00 - 29.03.2019 05:15","0","0","0","2526","2798","2180","4066","4197","2925"
"29.03.2019 05:15 - 29.03.2019 05:30","0","0","0","2602","2839","2210","4134","4194","2915"
"29.03.2019 05:30 - 29.03.2019 05:45","0","0","0","2673","2895","2255","4201","4250","2961"
"29.03.2019 05:45 - 29.03.2019 06:00","5","1","1","2741","2986","2333","4252","4255","2968"
"29.03.2019 06:00 - 29.03.2019 06:15","106","79","66","2811","3029","2363","4294","4364","3076"
"29.03.2019 06:15 - 29.03.2019 06:30","369","304","252","2871","3092","2411","4326","4406","3122"
"29.03.2019 06:30 - 29.03.2019 06:45","933","817","641","2927","3135","2439","4355","4396","3117"
"29.03.2019 06:45 - 29.03.2019 07:00","1823","1673","1336","2982","3094","2381","4377","4504","3222"
"29.03.2019 07:00 - 29.03.2019 07:15","2914","2745","2206","3021","3087","2358","4371","4526","3242"
"29.03.2019 07:15 - 29.03.2019 07:30","4136","3945","3043","3045","3084","2348","4237","4342","3078"
"29.03.2019 07:30 - 29.03.2019 07:45","5477","5217","3994","3075","3123","2381","4095","4204","2958"
"29.03.2019 07:45 - 29.03.2019 08:00","6853","6575","5126","3104","3119","2280","3935","4073","2998"
"29.03.2019 08:00 - 29.03.2019 08:15","8312","8014","6292","3127","3118","2241","3709","3924","2869"
"29.03.2019 08:15 - 29.03.2019 08:30","9832","9449","7655","3153","3115","2199","3504","3697","2609"
"29.03.2019 08:30 - 29.03.2019 08:45","11355","10986","8944","3174","3104","2147","3304","3482","2460"
"29.03.2019 08:45 - 29.03.2019 09:00","12859","12495","10098","3197","3099","2104","3090","3254","2260"
"29.03.2019 09:00 - 29.03.2019 09:15","14307","13979","11241","3223","3098","2098","2880","3054","2055"
"29.03.2019 09:15 - 29.03.2019 09:30","15694","15397","12340","3262","3088","2072","2839","3010","1994"
"29.03.2019 09:30 - 29.03.2019 09:45","16996","16725","13310","3300","3081","2051","2796","2965","2010"
"29.03.2019 09:45 - 29.03.2019 10:00","18186","17958","14201","3342","3069","2033","2806","2971","2036"
"29.03.2019 10:00 - 29.03.2019 10:15","19259","19093","14976","3383","3055","2020","2841","2987","2176"
"29.03.2019 10:15 - 29.03.2019 10:30","20261","20063","15755","3409","3047","2015","2928","3054","2335"
"29.03.2019 10:30 - 29.03.2019 10:45","21098","20908","16420","3432","3035","2020","3026","3133","2483"
"29.03.2019 10:45 - 29.03.2019 11:00","21808","21636","16838","3457","3024","1980","3103","3200","2851"
